Term	TermType	en	de	es	fr	it	ja-JP	ko	pl	pt-BR	ru	zh-Hans	zh-Hant
TowerDescription/_1054_SLIME_TOWER_UPGRADE_B	TowerDescription	Slime explosions apply a 20% slowing effect for 3 seconds.	Schleimexplosionen verlangsamen 3 Sek. lang um 20 %.	La explosión aplica un 20 % de ralentización durante 3 segundos.	L'explosion des slimes applique un ralentissement de 20 % pendant 3 s.	Le esplosioni della melma applica un effetto di rallentamento del 20% per 3 secondi.	スライムの破裂が、敵の動きを3秒の間20%遅くするようになる。	슬라임 폭발이 3초 동안 20% 감속 효과를 적용합니다.	Eksplozje śluzu nakładają efekt spowolnienia o 20% na 3 sekundy.	As explosões de geleca aplicam uma redução de velocidade de 20% por 3 segundos.	Взрывы слизней замедляют цели на 20% на 3 секунды.	史莱姆的爆炸会附加20%的缓速，持续3秒	史萊姆的爆炸會附加20%的緩速，持續3秒
TowerDescription/_1001_SCRAP_TOWER_EXTRASTAT	TowerDescription	Remaining Ammo	Restmunition	Munición restante	Munitions restantes	Munizioni rimanenti	残り弾数	남은 탄약	Pozostała amunicja	Munição Restante	Осталось боеприпасов	剩余弹药	剩餘彈藥
TowerDescription/_1025_GOLDEN_STATUE_TOWER_EXTRARECORD	TowerDescription	Gold Gained	Erhaltenes Gold	Oro obtenido	Or gagné	Oro guadagnato	獲得ゴールド	획득한 골드	Zdobyte złoto	Moedas Obtidas	Заработано золота	获得金币	獲得金幣
TowerDescription/_1056_BARRAGE_TOWER	TowerDescription	Cannot rotate. Bombards an area at medium range rapidly, firing up to 20 projectiles each time. For each Barrage Tower connected horizontally, all connected Barrage Towers gain +20% critical rate.	Dieser Turm kann sich nicht drehen. Bombardiert ein Gebiet in mittlerer Entfernung mit bis zu 20 Projektilen. Pro vertikal verbundenem Sperrfeuer-Turm erhöht sich die krit. Chance um 20 %.	No se puede girar. Bombardea una zona a media distancia rápidamente disparando hasta 20 proyectiles cada vez. Por cada torre andanada conectada horizontalmente, todas las torres andanada conectadas ganan un 20 % de prob. de crítico.	Incapable de tourner. Bombarde rapidement une zone à moyenne portée, en tirant jusqu'à 20 projectiles par volée. Pour chaque Tour barrage reliée horizontalement, toutes les Tours barrage connectées gagnent +20 % de taux de crit.	Non può ruotare. Bombarda rapidamente un’area a media distanza, sparando fino a 20 proiettili ogni volta. Per ogni Torre di sbarramento collegata orizzontalmente, tutte le Torri di sbarramento collegate ottengono +20% alla probabilità di colpo critico.	回転せず、中距離の範囲に一度あたり20発の弾幕を張る。横方向に繋げられたダンマクタワー1つにつき、繋がっている全ダンマクタワーのクリティカルヒット発生確率が20%上昇する。	회전할 수 없습니다. 중거리에서 한 구역을 신속하게 폭격하며, 한 번에 최대 20개의 발사체를 발사합니다. 수평으로 연결된 폭격 타워마다 연결된 모든 폭격 타워가 +20% 치명타 확률을 획득합니다.	Nie może się obracać. Szybko ostrzeliwuje obszar w średnim zasięgu, wystrzeliwując za każdym razem do 20 pocisków. Za każdą poziomo połączoną wieżę ostrzału wszystkie połączone wieże ostrzału zyskują +20% szansy na trafienie krytyczne.	Não pode ser girada. Bombardeia rapidamente uma área a média distância, disparando até 20 projéteis por ataque. Para cada Torre de Barragem conectada horizontalmente, todas as Torres de Barragem conectadas recebem +20% de chance de acerto crítico.	Нельзя вращать. Быстро бомбардирует область на средней дистанции, каждый раз выпуская до 20 снарядов. За каждую соединенную по горизонтали башню заградительного огня все соединенные башни заградительного огня получают +20% к шансу критического удара.	无法旋转。对一段距离外的区域快速的进行轰炸，每次发射最多射出20发弹幕。每横向串接一个弹幕塔，会让连接的所有弹幕塔增加20%爆击率	無法旋轉。對一段距離外的區域快速的進行轟炸，每次發射最多射出20發彈幕。每橫向串接一個彈幕塔，會讓連接的所有彈幕塔增加20%爆擊率
TowerDescription/_1056_BARRAGE_TOWER_UPGRADE_A	TowerDescription	Every 10 shots, the next projectile is empowered, dealing double damage to monsters within a small area and inflicting [BURN] for 5 seconds.	Alle 10 Schüsse verstärken das nächste Projektil, wodurch es Monstern in einem kleinen Bereich doppelten Schaden zufügt und 5 Sek. lang in [BURN] steckt.	Cada 10 disparos, el siguiente proyectil estará potenciado. Infligirá el doble de daño a los monstruos en una zona reducida e infligirá [BURN] durante 5 segundos.	Après 10 coups, tire un projectile plus puissant qui inflige le double de dégâts aux monstres dans une petite zone et [BURN] pendant 5 s.	Ogni 10 colpi, il proiettile successivo viene potenziato, infliggendo il doppio dei danni ai mostri all’interno di una piccola area e applicando [BURN] per 5 secondi.	10発撃つたび次の弾丸が強化され、小さな範囲内のモンスターに2倍のダメージと5秒間の[BURN]効果を与える。	10번 사격할 때마다 다음 발사체가 강화되어 작은 사거리 안의 적들에게 두 배의 피해를 주고 5초 동안 [BURN] 효과를 부여합니다.	Co 10 strzałów następny pocisk jest wzmocniony, zadając potworom w niewielkim obszarze podwójne obrażenia i nakładając efekt [BURN] na 5 sekund.	A cada 10 disparos, o próximo projétil é fortalecido, causando o dobro de dano aos monstros em uma pequena área e [BURN] por 5 segundos.	Каждые 10 выстрелов следующий снаряд усиливается: он наносит двойной урон монстрам в небольшой области и накладывает [BURN] на 5 секунд.	每发射10次，下一发弹幕会获得强化，对小范围中的怪物造成双倍伤害及5秒[BURN]。	每發射10次，下一發彈幕會獲得強化，對小範圍中的怪物造成雙倍傷害及5秒[BURN]。
TowerDescription/_1056_BARRAGE_TOWER_UPGRADE_B	TowerDescription	Converts to [ELECTRIC] damage. When a monster is hit by a projectile, there is a 10% chance to release electric energy, firing a projectile at the 3 farthest targets within 10 tiles.	Rüstet den Turm zu [ELECTRIC]-Schaden um. Trifft ein Projektil ein Monster, wird mit 10%iger Chance elektrische Energie freigesetzt. Dies verschießt ein Projektil auf die 3 am weitesten voneinander entfernten Ziele innerhalb von 10 Feldern.	Se convierte en daño de [ELECTRIC]. Cuando un monstruo es golpeado por un proyectil, hay un 10 % de probabilidad de liberar energía eléctrica que dispara un proyectil a los 3 objetivos más alejados en un rango de 10 casillas.	Passe en dégâts [ELECTRIC]. Quand un monstre est touché, 10 % de chances de relâcher de l'électricité et de tirer sur les 3 cibles les plus lointaines dans un rayon de 10 cases.	Converte il danno in [ELECTRIC]. Quando un mostro viene colpito da un proiettile, c’è il 10% di probabilità che rilasci energia elettrica, sparando un proiettile ai 3 bersagli più lontani entro 10 caselle.	ダメージが[ELECTRIC]属性になる。弾丸に当たったモンスターが10％の確率でエネルギーを放出し、10タイル以内にいる最も遠い敵最大3体に対して攻撃を放つ。	[ELECTRIC] 피해로 전환합니다. 적이 발사체에 적중당하면, 10% 확률로 전기 에너지를 방출해 10타일 안의 가장 멀리 떨어진 3개 대상에 발사체를 발사합니다.	Konwertuje obrażenia na [ELECTRIC]. Gdy potwór zostanie trafiony pociskiem, istnieje 10% szansy na uwolnienie energii elektrycznej, która wystrzeli pocisk w kierunku 3 najdalej położonych celów w promieniu 10 pól.	Converte o dano para [ELECTRIC]. Quando um monstro é atingido por um projétil, há 10% de chance de liberar energia elétrica, disparando um projétil contra os 3 alvos mais distantes dentro de uma distância de 10 casas.	Преобразует урон в [ELECTRIC]. При попадании снаряда по монстру с вероятностью 10% высвобождается электрическая энергия, выпускающая снаряд по не более чем 3 самым дальним целям в радиусе 10 клеток.	转为[ELECTRIC]属性。当怪物被弹幕击中之后，有10%机率会释放出电能，对10格内最远的3个目标发射一发弹幕。	轉為[ELECTRIC]屬性。當怪物被彈幕擊中之後，有10%機率會釋放出電能，對10格內最遠的3個目標發射一發彈幕。
TowerDescription/_1057_BLACKHOLE_TOWER	TowerDescription	Fires a mini black hole that pulls monsters within range toward the center, dealing damage each second. The smaller the monster, the stronger the pull effect. [C1]The Black Hole Tower's attack speed cannot be changed. Any effects that increase attack speed are converted into damage increases.[C0]	Erzeugt ein kleines Schwarzes Loch, das Monster in Reichweite zum Zentrum zieht und ihnen jede Sek. Schaden zufügt. Je kleiner das Monster, desto stärker der Anziehungseffekt. [C1]Das Angriffstempo des Schwarzen Lochs kann nicht verändert werden. Alle Effekte, die das Angriffstempo erhöhen, erhöhen stattdessen den Schaden.[C0]	Dispara un miniagujero negro que atrae a los monstruos al alcance hacia su centro e inflige daño cada segundo. Cuanto más pequeño sea el monstruo, mayor será el efecto de atracción. [C1]La velocidad de ataque de la torre agujero negro no se puede cambiar. Cualquier efecto que aumente la velocidad de ataque se convierte un aumento de daño.[C0]	Tire un mini-trou noir qui attire les monstres à portée, infligeant des dégâts chaque seconde. Plus le monstre est petit, plus l'attraction est forte. [C1]La vitesse d'attaque de la Tour trou noir ne peut pas être changée. Les effets augmentant la vitesse augmenteront ses dégâts.[C0]	Lancia un mini buco nero che attira al centro i mostri nel raggio d'azione, infliggendo danni ogni secondo. Più piccolo è il mostro, più forte è l'attrazione. [C1]La velocità d'attacco non può essere modificata. Qualsiasi effetto che aumenti la velocità d'attacco viene convertito in un aumento dei danni.[C0]	範囲内のモンスターを中心に引き寄せ、継続ダメージを毎秒与える小さなブラックホールを放つ。モンスターの体格が小さいほど、引き寄せる力は強くなる。\n[C1]ブラックホールタワーの攻撃速度は変更できない。攻撃速度に対する強化は全てダメージの強化に変換される。[C0]	사거리 안의 적들을 중앙으로 끌어당기는 소형 블랙홀을 발사하여 매초 피해를 줍니다. 적이 작을수록 당기는 효과가 강해집니다. [C1]블랙홀 타워의 공격 속도는 변경될 수 없습니다. 공격 속도에 영향을 주는 모든 효과는 피해량 증가로 전환됩니다.[C0]	Wystrzeliwuje mini czarną dziurę, która przyciąga potwory znajdujące się w zasięgu w kierunku centrum, zadając im obrażenia co sekundę. Im mniejszy potwór, tym silniejszy efekt przyciągania. [C1]Szybkości ataku Wieży Czarnej Dziury nie można zmienić. Wszelkie efekty zwiększające szybkość ataku są przekształcane w zwiększenie obrażeń.[C0]	Dispara um mini buraco negro que puxa os monstros em seu alcance para o centro, causando dano a cada segundo. Quanto menor o monstro, mais forte será a força de atração. [C1]A velocidade de ataque da Torre do Buraco Negro não pode ser alterada. Qualquer efeito que aumentaria sua velocidade de disparo é convertida em aumento de dano.[C0]	Выпускает миниатюрную черную дыру, которая притягивает монстров в радиусе действия к центру, нанося им урон каждую секунду. Чем меньше монстр, тем сильнее сила притяжения. [C1]Скорость атаки Башни черной дыры нельзя изменить. Любые эффекты, увеличивающие скорость атаки, преобразуются в увеличение урона.[C0]	射出迷你黑洞将范围中的怪物往中心吸引，并且每秒对范围中怪物造成伤害。对体型越小的怪物吸引效果越强。 [C1]黑洞塔无法增加攻击速度，所有增加攻击速度的效果会被转换为增加伤害。 [C0]	射出迷你黑洞將範圍中的怪物往中心吸引，並且每秒對範圍中怪物造成傷害。對體型越小的怪物吸引效果越強。[C1]黑洞塔無法增加攻擊速度，所有增加攻擊速度的效果會被轉換為增加傷害。[C0]
TowerDescription/_1057_BLACKHOLE_TOWER_UPGRADE_A	TowerDescription	Each monster pulled into the black hole increases the black hole's size by 10%, up to +100%.	Jedes Monster, das in das Schwarze Loch gezogen wird, vergrößert es um 10 % (max. +100 %).	Cada monstruo atraído al agujero negro aumenta el tamaño del agujero negro un 10 %, hasta un máximo del 100 %.	Chaque monstre attiré augmente la taille du trou noir de 10 %, jusqu'à +100 %.	Ogni mostro attirato nel buco nero ne aumenta le dimensioni del 10%, fino a un massimo del +100%.	モンスターを1体引き寄せるたび、ブラックホールのサイズが10%ずつ、最大で+100%まで増加する。	블랙홀로 당기는 적마다 블랙홀의 크기가 10% 증가하며, 최대 +100% 증가합니다.	Każdy potwór wciągnięty do czarnej dziury zwiększa jej rozmiar o 10%, maksymalnie do +100%.	Cada monstro atraído aumenta o tamanho do buraco negro em 10%, até o máximo de +100%.	Каждый притянутый монстр увеличивает размер черной дыры на 10% (вплоть до +100%).	每吸引到一个怪物，会让黑洞的尺寸扩大10%，最高增加100%。	每吸引到一個怪物，會讓黑洞的尺寸擴大10%，最高增加100%。
TowerDescription/_1057_BLACKHOLE_TOWER_UPGRADE_B	TowerDescription	When the black hole disappears, it explodes, stunning all monsters in the area for 1 second.	Verschwindet das Schwarze Loch, explodiert es und betäubt alle Monster in der Umgebung 1 Sek. lang.	Cuando el agujero negro desaparece, explota y aturde a todos los monstruos de la zona durante 1 segundo.	Quand le trou noir disparaît, il explose et étourdit les monstres de la zone pendant 1 s.	Quando il buco nero scompare, esplode, stordendo tutti i mostri nell’area per 1 secondo.	ブラックホールが消滅時に爆発し、範囲内のモンスター全員を1秒間スタンさせる。	블랙홀이 사라질 때, 폭발하여 사거리 안의 모든 적을 1초 동안 기절시킵니다.	Gdy czarna dziura znika, eksploduje, ogłuszając wszystkie potwory w obszarze na 1 sekundę.	Quando o buraco negro desaparece, ele explode, atordoando todos os monstros na área por 1 segundo.	Когда действие черной дыры заканчивается, она взрывается, оглушая всех монстров в области на 1 секунду.	在黑洞结束时产生爆炸，让范围中的所有怪物晕眩1秒。	在黑洞結束時產生爆炸，讓範圍中的所有怪物暈眩1秒。
TowerDescription/_1058_PORTAL_TOWER	TowerDescription	A portal device developed by the academy. When a monster passes through, it is teleported to its position 5 seconds ago. The tower's energy is consumed based on the size of the each monster. Each monster can be teleported up to 3 times. Does not affect Bosses.	Ein von der Akademie entwickeltes Portalgerät. Läuft ein Monster durch, wird es an seinen Standort von vor 5 Sek. teleportiert. Der Energieverbrauch des Turms richtet sich nach der Größe der Monster. Jedes Monster kann bis zu 3-mal teleportiert werden. Wirkt nicht bei Bossen.	Un dispositivo en forma de portal desarrollado por la Academia. Cuando un monstruo lo atraviesa, se teletransporta a la posición de hace 5 segundos. La energía de la torre se consume según el tamaño de cada monstruo. Cada monstruo se puede teletransportar hasta 3 veces. No afecta a los jefes.	Un portail développé par l'Académie. Quand un monstre passe au travers, il consomme de l'énergie selon sa taille et est téléporté là où il était 5 s plus tôt. Chaque monstre peut être téléporté jusqu'à 3 fois. N'affecte pas les boss.	Un dispositivo che apre un portale sviluppato dall’Accademia. Quando un mostro lo attraversa, viene teletrasportato nella posizione in cui si trovava 5 secondi prima. L’energia della torre viene consumata in base alle dimensioni di ciascun mostro. Ogni mostro può essere teletrasportato fino a 3 volte. Non ha effetto sui boss.	アカデミーの開発したポータル装置。その体格に応じた量のエネルギーを消費し、通過したモンスターを5秒前にいた場所にテレポートさせる。テレポートは各モンスターにつき最大3回まで。ボス相手には効果なし。	아카데미에서 개발한 차원문 장치입니다. 적이 통과하면, 5초 전 위치로 순간이동시킵니다. 타워의 에너지는 적의 크기에 따라 소모됩니다. 적은 최대 3번 순간이동할 수 있습니다. 보스에게는 영향을 주지 않습니다.	Urządzenie portalowe opracowane przez akademię. Gdy potwór przez nie przejdzie, zostaje teleportowany do pozycji, w której znajdował się 5 sekund wcześniej. Energia wieży jest zużywana proporcjonalnie do wielkości każdego potwora. Każdy potwór może zostać teleportowany maksymalnie 3 razy. Nie działa na bossów.	Um dispositivo de portal desenvolvido pela Academia. Quando um monstro passa por ele, é teleportado para a posição em que estava 5 segundos atrás. A energia da torre é consumida de acordo com o tamanho de cada monstro. Cada monstro pode ser teleportado no máximo 3 vezes. Não afeta Chefes.	Портальная установка, разработанная Академией. Когда монстр проходит сквозь нее, она расходует энергию в зависимости от размера монстра и телепортирует его на позицию, где тот находился 5 секунд назад. Каждого монстра можно телепортировать не более 3 раз. Не действует на боссов.	由学院研究出的传送门装置。当怪物通过时，会依怪物体型消耗能量，并将怪物传送到5秒前的位置。每只怪物最多可以被传送三次，对Boss无效。	由學院研究出的傳送門裝置。當怪物通過時，會依怪物體型消耗能量，並將怪物傳送到5秒前的位置。每隻怪物最多可以被傳送三次，對Boss無效。
TowerDescription/_1058_PORTAL_TOWER_UPGRADE_A	TowerDescription	Teleports monsters to their positions up to 15 seconds ago. Once per turn, after the portal is triggered, it enters an energized state where teleportation costs no energy for 10 seconds.	Teleportiert Monster an ihren Standort von vor bis zu 15 Sek. Nachdem das Portal ausgelöst wurde, löst es einmal pro Runde einen Energiezustand aus, in dem die Teleportation 10 Sek. lang keine Energie kostet.	Teletransporta a los monstruos a la posición de hace 15 segundos. Una vez por turno y tras activar el portal, se activa el frenesí energético y la teletransportación no consume energía durante 10 segundos.	Téléporte les monstres là où ils étaient jusqu'à 15 s plus tôt. 1x par tour, quand le portail est activé, il se remplit d'énergie et la téléportation ne coûte rien pendant 10 s.	Teletrasporta i mostri nelle posizioni in cui si trovavano fino a 15 secondi prima. Una volta per turno, dopo l’attivazione del portale, la torre entra in uno stato di potenziamento in cui il teletrasporto non consuma energia per 10 secondi.	モンスターを最大で15秒前にいた場所にテレポートさせる。各ターンにつき1回、ポータル作動時に「覚醒状態」になり、10秒の間ノーコストでモンスターをテレポートさせるようになる。	최대 15초 전 위치로 적을 순간이동시킵니다. 턴마다 한 번, 차원문이 발동된 후, 에너지 충전 상태에 돌입해 10초 동안 순간이동의 에너지 비용이 없어집니다.	Teleportuje potwory do pozycji, w których znajdowały się maksymalnie 15 sekund wcześniej. Raz na turę, po uruchomieniu portalu, przechodzi on w stan naładowania, w którym teleportacja nie zużywa energii przez 10 sekund.	Teleporta os monstros para a posição em que estavam até 15 segundos atrás. Uma vez por rodada, após o portal ser ativado, ele entra em um estado energizado, no qual os teleportes não consomem energia por 10 segundos.	Телепортирует монстров на позицию, где те находились 15 секунд назад. Один раз за ход после срабатывания портал переходит в заряженное состояние: в течение 10 секунд телепортация не расходует энергию.	改为将怪物传送到最多15秒前的位置。每回合一次，传送门在触发之后会超载，在10秒之内的传送都不耗费能量。	改為將怪物傳送到最多15秒前的位置。每回合一次，傳送門在觸發之後會超載，在10秒之內的傳送都不耗費能量。
TowerDescription/_1058_PORTAL_TOWER_UPGRADE_B	TowerDescription	Teleported enemies are stunned for 3 seconds and receive 100% [VULNERABLE] for 5s.	Teleportierte Gegner sind 3 Sek. lang betäubt und erleiden 5 Sek. lang 100 % [VULNERABLE].	Los enemigos teletransportados quedan aturdidos durante 3 segundos y reciben un 100 % de [VULNERABLE] durante 5 segundos.	Les ennemis téléportés sont étourdis pendant 3 s et subissent 100 % de [VULNERABLE] pendant 5 s.	I nemici teletrasportati vengono storditi per 3 secondi e subiscono un effetto [VULNERABLE] al 100% per 5 secondi.	テレポートしたモンスターに、3秒間のスタンと5秒間持続する100%の[VULNERABLE]を与える。	순간이동된 적은 3초 동안 기절하고 5초 동안 100% [VULNERABLE] 효과를 적용합니다.	Teleportowani wrogowie są ogłuszeni na 3 sekundy i otrzymują 100% [VULNERABLE] na 5 sekund.	Inimigos teleportados ficam Atordoados por 3 segundos e recebem 100% [VULNERABLE] por 5s.	Телепортированные враги оглушаются на 3 секунды и получают 100% [VULNERABLE] на 5 секунд.	传送后的怪物变得脆弱，在传送后会晕眩三秒，并施加100%[VULNERABLE]，持续5秒	傳送後的怪物變得脆弱，在傳送後會暈眩三秒，並施加100%[VULNERABLE]，持續5秒
TowerDescription/_1058_PORTAL_TOWER_EXTRASTAT	TowerDescription	Teleported	Teleportiert	Teletransportado	Téléporté	Teletrasportato	ワープ発動回数	순간이동됨	Teleportowani	Teleportado	Телепортировано	已传送	已傳送
TowerDescription/_1060_CHAINBALL_TOWER	TowerDescription	Cannot rotate. Fires a chain ball straight ahead, dealing heavy damage to the first hit monster, knocking it back and briefly stunning it.	Dieser Turm kann sich nicht drehen. Verschießt eine Kettenkugel geradeaus, die dem zuerst getroffenen Monster schweren Schaden zufügt, es zurückstößt und kurzzeitig betäubt.	No se puede girar. Lanza una bola con pinchos en línea recta que inflige mucho daño al primer monstruo que golpea. Además, lo hace retroceder y lo aturde brevemente.	Incapable de tourner. Lance une boule tout droit, qui inflige de lourds dégâts au 1er monstre touché, le repousse et l'étourdit brièvement.	Non può ruotare. Spara una sfera a catena in linea retta, infliggendo danni ingenti al primo mostro colpito, respingendolo e stordendolo brevemente.	回転することなく、鎖で繋がれた鉄球を前方に放つ。初めに当たった敵に大きなダメージとノックバック、そして短時間のスタンを与える。	회전할 수 없습니다. 직선상에 철구를 발사해 가장 처음 적중한 적에게 강력한 피해를 주고 뒤로 밀쳐낸 다음 잠시 기절시킵니다.	Nie może się obracać. Wystrzeliwuje kulę łańcuchową prosto przed siebie, zadając ogromne obrażenia pierwszemu trafionemu potworowi, odrzucając go i na krótko ogłuszając.	Não pode ser girada. Dispara uma bola de ferro em linha reta, causando alto dano ao primeiro monstro atingido, arremessando-o para trás e atordoando-o brevemente.	Нельзя вращать. Выпускает ядро на цепи прямо перед собой: оно наносит тяжелый урон первому пораженному монстру, отбрасывает его назад и ненадолго оглушает.	无法旋转。往前发射巨大的链球，对第一个击中的怪物造成大量伤害，并且会被击退且短暂晕眩。	無法旋轉。往前發射巨大的鏈球，對第一個擊中的怪物造成大量傷害，並且會被擊退且短暫暈眩。
TowerDescription/_1060_CHAINBALL_TOWER_UPGRADE_A	TowerDescription	Converts to [FIRE] damage. Flames erupt on hit, applying 5 seconds of [BURN] to nearby monsters.	Rüstet den Turm zu [FIRE]-Schaden um. Treffer stecken Monster in der Nähe 5 Sek. lang in [BURN].	Se convierte en daño de [FIRE]. Las llamas estallan al golpear y aplican 5 segundos de [BURN] a los monstruos cercanos.	Passe en dégâts [FIRE]. Des flammes jaillissent à l'impact, appliquant 5 s de [BURN] aux monstres proches.	Converte il danno in [FIRE]. Al contatto, divampano fiamme che infliggono 5 secondi di [BURN] ai mostri vicini.	ダメージが[FIRE]属性になる。攻撃が当たると炎が噴き出し、付近のモンスターに5秒間の[BURN]効果を与える。	[FIRE] 피해로 전환합니다. 적중 시 불길이 치솟아 주변 적들에게 5초 동안 [BURN] 효과를 적용합니다.	Konwertuje obrażenia na [FIRE]. Po trafieniu wybuchają płomienie, nakładając na pobliskie potwory efekt [BURN] na 5 sekund.	Converte o dano para [FIRE]. Ao atingir o alvo, chamas irrompem, aplicando 5 segundos de [BURN] aos monstros próximos.	Преобразует урон в [FIRE]. При попадании вырывается пламя, накладывая эффект [BURN] на 5 секунд на монстров поблизости.	攻击改为[FIRE]属性，击中怪物时会爆发出火焰，对小范围中的怪物造成5秒[BURN]效果	攻擊改為[FIRE]屬性，擊中怪物時會爆發出火焰，對小範圍中的怪物造成5秒[BURN]效果
TowerDescription/_1060_CHAINBALL_TOWER_UPGRADE_B	TowerDescription	Damage is reduced by 75%, but the attack hits all monsters along its path.	Der Schaden reduziert sich um 75 %, aber der Angriff trifft alle Monster auf seinem Weg.	El daño se reduce un 75 %, pero el ataque golpea a todos los monstruos que encuentra.	Dégâts -75 % mais l'attaque frappe tous les monstres sur son chemin.	Il danno è ridotto del 75%, ma l’attacco colpisce tutti i mostri lungo il suo percorso.	ダメージが75％減少するが、軌道上にいるモンスター全員に攻撃が当たるようになる。	피해량이 75% 감소하지만, 경로에 있는 모든 적을 공격합니다.	Obrażenia są zmniejszone o 75%, ale atak trafia wszystkie potwory na swojej drodze.	O dano é reduzido em 75%, mas o ataque atinge todos os monstros em seu caminho.	Урон снижен на 75%, но атака поражает всех монстров на своем пути.	伤害降低75%，但攻击会击中路径上的所有怪物。	傷害降低75%，但攻擊會擊中路徑上的所有怪物。
TowerDescription/_1055_TRANSMUTE_TOWER	TowerDescription	Discharges a powerful electric current at passing enemies, leaving behind a strong Electric Field. For 3 seconds after passing through the gate, the tower deals damage to the enemy each time it moves one tile.	Entlädt starken elektrischen Strom auf vorbeikommende Feinde und hinterlässt ein starkes elektrisches Feld. Geht ein Feind durch das Tor, fügt ihm der Turm 3 Sek. lang jedes Mal, wenn er sich ein Feld weit bewegt, Schaden zu.	Descarga una intensa corriente eléctrica contra los enemigos que pasan y deja un potente campo eléctrico. Durante 3 segundos tras pasar por la puerta, la torre inflige daño al enemigo cada vez que se desplaza por una casilla.	Décharge un puissant courant sur les ennemis qui passent, et laisse un fort champ électrique. Pendant 3 s après leur passage, les ennemis subissent des dégâts à chaque fois qu'ils bougent d'une case.	Rilascia una potente scarica elettrica sui nemici che passano, lasciando dietro di sé un forte campo elettrico. Per 3 secondi dopo l'attraversamento del cancello, la torre infligge danni al nemico ogni volta che si sposta di una casella.	通過する敵に対して強電流を放電し、強力な帯電状態にする。ゲートを通過した敵は次の3秒間、1タイル移動するたびにダメージを受ける。	통과하는 적들에게 강력한 전류를 방출해 강력한 전기장을 남깁니다. 게이트를 통과하고 3초 동안 타워는 적이 타일을 하나 이동할 때마다 피해를 줍니다.	Wysyła potężny prąd elektryczny w kierunku przechodzących wrogów, pozostawiając po sobie silne pole elektryczne. Przez 3 sekundy po przejściu przez bramę wieża zadaje obrażenia wrogowi za każdym razem, gdy ten przesunie się o jedno pole.	Libera uma poderosa descarga elétrica nos monstros que passam, deixando um forte campo magnético sobre eles. Após atravessarem o Portão Elétrico, eles sofrem dano adicional a cada casa percorrida durante 3 segundos.	Выпускает мощный электрический разряд в проходящих мимо врагов, оставляя после себя сильное электрическое поле. В течение 3 секунд после прохождения через врата башня наносит врагу урон каждый раз, когда тот перемещается на одну клетку.	对经过的怪物释放强烈的电流，并且在怪物身上留下强大的磁场。怪物穿过电闸之后，在3秒之内每移动一格会额外造成一次伤害。	對經過的怪物釋放強烈的電流，並且在怪物身上留下強大的磁場。怪物穿過電閘之後，在3秒之內每移動一格會額外造成一次傷害。
TowerDescription/_1055_TRANSMUTE_TOWER_UPGRADE_A	TowerDescription	Converts to [ARCANE] damage. Emits arcane radiation at passing enemies, applying 30% [FRAGILE] every second until the enemy has moved 10 tiles.	Rüstet den Turm zu [ARCANE]-Schaden um. Bestrahlt vorbeikommende Feinde arkan und fügt ihnen jede Sek. 30 % [FRAGILE] zu, bis der Feind 10 Felder zurückgelegt hat.	Se convierte en daño [ARCANE]. Emite radicación arcana contra los enemigos que pasan y aplica un 30 % de [FRAGILE] cada segundo hasta que el enemigo se ha desplazado 10 casillas.	Passe en dégâts [ARCANE]. Émet des radiations occultes vers les ennemis de passage, appliquant 30 % de [FRAGILE] par seconde jusqu'à ce que l'ennemi ait bougé de 10 cases.	Converte in danno [ARCANE]. Emette radiazioni arcane sui nemici che passano, applicando il 30% di [FRAGILE] ogni secondo finché il nemico non si è spostato di 10 caselle.	ダメージが[ARCANE]属性になる。通過した敵にアーケインの魔法をまとわせ、10タイル移動するまでの間、毎秒30%の[FRAGILE]を与える。	[ARCANE] 피해로 전환합니다. 통과하는 적들에게 비전 방사능을 방출하여 적이 10타일을 이동할 때까지 매초 30% [FRAGILE] 효과를 적용합니다.	Konwertuje obrażenia na [ARCANE]. Emituje promieniowanie ezoteryczne w kierunku przechodzących wrogów, nakładając 30% [FRAGILE] co sekundę, dopóki wróg nie przesunie się o 10 pól.	Converte o dano para [ARCANE]. Emite radiação arcana contra os inimigos que passam, aplicando 30% de [FRAGILE] por segundo até que o inimigo percorra 10 casas.	Преобразует урон в [ARCANE]. Облучает проходящих мимо врагов магией, накладывая 30% [FRAGILE] каждую секунду, пока враг не пройдет 10 клеток.	转换为[ARCANE]属性。对经过的怪物释放奥术辐射，每一秒对怪物施加30%的[FRAGILE]，直到怪物移动超过10格为止	轉換為[ARCANE]屬性。對經過的怪物釋放奧術輻射，每一秒對怪物施加30%的[FRAGILE]，直到怪物移動超過10格為止
